ID,Severity,Category,File,Line,Description,Reviewer,Review_Date,Status,Fix_Priority,Est_Hours,Notes
1,CRITICAL,Security,services/body_broker_integration/api_routes.py,117-118,SQL parameters use positional ($1 $2) but NO validation on input values - potential injection if values contain SQL,Pending,2025-11-09,Open,P0,2,"Uses asyncpg parameterized queries which SHOULD be safe, but no validation on string inputs. Review if asyncpg escapes properly."
2,CRITICAL,Security,services/body_broker_integration/api_routes.py,17-22,Database connection has NO PASSWORD - security vulnerability,GPT-Codex-2,2025-11-09,Fixed,P0,1,FIXED: Added password requirement from environment variable with validation
3,CRITICAL,Security,services/story_teller/database_connection.py,29,HARDCODED PASSWORD 'Inn0vat1on!' in source code - MASSIVE SECURITY BREACH,GPT-Codex-2,2025-11-09,Fixed,P0,0.5,FIXED: Removed hardcoded password fallback. Now requires POSTGRES_PASSWORD env var with clear error message.
4,HIGH,Security,services/body_broker_integration/api_routes.py,118,Hardcoded player_id 'player_001' - not using actual user authentication,Pending,2025-11-09,Open,P1,2,Implement proper user authentication and session management
5,HIGH,Security,services/story_teller/database_connection.py,66-68,Global singleton with no thread safety - race condition on initialization,GPT-Codex-2,2025-11-09,Fixed,P1,1,FIXED: Added asyncio.Lock with double-check locking pattern for thread-safe singleton
6,HIGH,Error Handling,services/body_broker_integration/api_routes.py,114-121,No error handling around database operations - will crash on DB failure,GPT-Codex-2,2025-11-09,Fixed,P1,1,FIXED: Added try/except with HTTPException 500 on record_kill endpoint
7,MEDIUM,Error Handling,services/body_broker_integration/api_routes.py,139-144,No error handling on death record insertion,GPT-Codex-2,2025-11-09,Fixed,P2,1,FIXED: Added try/except with HTTPException 500 on trigger_death endpoint
8,MEDIUM,Code Quality,services/body_broker_integration/api_routes.py,10,Global db_pool - potential race condition on initialization,Pending,2025-11-09,Open,P2,1,Use dependency injection or proper singleton pattern
9,CRITICAL,Security,services/memory/postgres_memory_archiver.py,76-82,Database connection with NO PASSWORD - another security vulnerability,GPT-Codex-2,2025-11-09,Fixed,P0,0.5,FIXED: Added password requirement from POSTGRES_PASSWORD env var with validation
10,HIGH,Security,services/memory/postgres_memory_archiver.py,85,Queue maxsize 10000 with no backpressure handling - could cause memory issues,Pending,2025-11-09,Open,P1,1,Add backpressure when queue fills
14,HIGH,Security,MULTIPLE_SERVICES,ALL,Consistent pattern: NO authentication/authorization middleware on any APIs - anyone can call any endpoint,Pending,2025-11-09,Open,P1,8,Implement auth middleware across all services (router, settings, npc_behavior, world_state, event_bus, etc)
15,HIGH,Security,services/ai_integration/lora_routes.py,52-63,register_adapter accepts arbitrary 'path' parameter - potential path traversal if LoRAManager doesn't validate,Pending,2025-11-09,Open,P1,1,Verify LoRAManager.register_adapter validates paths or add validation
