"Service","RunningTasks","AllocatedCPU","AllocatedMemory","AvgCPU","MaxCPU","AvgMemory","MaxMemory","CPURecommendation","MemoryRecommendation","Action"
"state-manager","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"ai-router","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"world-state","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"time-manager","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"language-system","0","512","1024","0","0","0","0","REDUCE","REDUCE","Right-size"
"settings","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"model-management","0","512","1024","0","0","0","0","REDUCE","REDUCE","Right-size"
"capability-registry","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"story-teller","0","512","1024","0","0","0","0","REDUCE","REDUCE","Right-size"
"npc-behavior","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"weather-manager","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"quest-system","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"knowledge-base","0","1024","2048","0","0","0","0","REDUCE","REDUCE","Right-size"
"payment","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"performance-mode","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"ai-integration","0","512","1024","0","0","0","0","REDUCE","REDUCE","Right-size"
"ue-version-monitor","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"router","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"orchestration","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"event-bus","1","512","1024","0","0","0","0","REDUCE","REDUCE","Right-size"
"environmental-narrative","0","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
"storyteller","1","256","512","0","0","0","0","REDUCE","REDUCE","Right-size"
